F1	F2	F3	F4	F5	F6	y
-34.489999999999995	-0.168	572.5726408765208	259.14001614623675	P	C	2
-0.1	-2.595	470.20518613073443	229.8028660627722	Q	A	0
6.12	0.638	445.80236665362474	185.2653734940291	Q	A	3
12.370000000000001	1.459	548.1489233575004	175.09924867755112	Q	C	1
9.290000000000001	2.099	338.1630101612938	123.6155354134523	P	B	0
-20.64	-0.269	569.8540930413476	130.33389786530478	Q	A	0
-17.490000000000002	-0.832	739.996886021606	243.42291385781994	P	C	2
20.53	-2.66	484.8647770699342	172.92355515619616	Q	C	3
-19.54	1.432	854.7373527669916	77.28903132833543	P	D	1
27.42	0.274	490.60185521376695	233.82694373988042	Q	D	2
11.22	1.107	792.9666691378625	199.71383583879236	Q	A	3
-9.32	-1.898	598.7374729560019	178.00223623325704	Q	B	1
11.200000000000001	1.98	498.55344429238835	260.88430060821247	Q	B	0
4.81	-0.742	644.5317963502008	217.86826383333857	Q	A	1
11.92	-1.258	460.24482588311844	226.29567781458795	P	B	2
15.0	1.289	496.30687353581294	194.83325545142216	Q	D	2
-17.32	-1.347	697.4122292917568	178.8353677651376	P	B	1
-21.54	2.191	660.8438149940317	141.95615376699445	Q	D	1
11.39	1.182	622.0049967560936	127.54415458121534	P	A	3
16.5	1.631	421.9461984901984	173.65243860344157	Q	A	3
17.93	-2.126	677.6719072381743	184.06806890614462	P	B	2
13.57	1.343	649.413194615642	169.70558270018006	P	A	3
3.55	-0.907	675.9789162495289	197.46020914498035	Q	C	3
-9.32	0.689	694.1689240175403	212.8798652740326	P	B	3
15.149999999999999	-2.099	487.5649151309426	241.9756468279403	P	D	0
12.780000000000001	-1.39	547.8505534800246	173.48799886681678	Q	A	1
-24.19	-1.66	688.0736815298774	211.85383622124021	Q	D	3
12.61	1.669	502.3671848521608	214.24936336702655	P	C	1
-15.709999999999999	-1.312	371.26152184144996	202.47042820756494	Q	D	3
17.86	1.354	491.0752433629714	245.22281126525678	P	C	1
-23.119999999999997	1.797	679.7397613578846	328.50762199904983	P	A	2
-18.11	-1.356	467.7052445127762	132.52259601785357	Q	B	1
-12.54	2.194	761.6060272157746	221.47650329107037	Q	B	3
-32.480000000000004	2.857	546.1106613489951	160.78881151649665	Q	C	0
-31.28	-0.783	383.784470577538	209.40660168996362	Q	C	2
-23.380000000000003	1.839	632.5106119355112	129.83863017367202	P	B	3
17.529999999999998	-1.748	543.354847565501	198.83950720392764	Q	A	1
-18.75	0.909	381.35200552543927	216.69785536060468	P	A	2
16.18	1.522	671.2817584927909	161.27832263935602	Q	C	1
-13.55	-1.031	858.6934708373888	204.1386019041617	P	A	0
-27.869999999999997	0.131	649.1453259242436	208.0491510798449	Q	A	2
-16.19	1.661	438.62010339140727	236.44932812860029	P	B	3
29.990000000000002	3.04	545.5357472933347	140.0313385689018	P	A	3
12.26	1.751	518.0591086634203	224.72683221393254	Q	C	1
1.07	-0.882	632.9845682171111	263.7696135117689	Q	D	3
-5.9799999999999995	-0.25	639.3447889703767	207.4292960632734	P	D	3
18.26	1.522	555.2679923763001	145.95344415649424	P	D	2
27.599999999999998	-2.361	558.7991402392723	190.49191912144138	Q	A	1
-14.68	1.315	396.41078876053007	196.70197434835185	Q	D	1
6.66	1.543	801.6254755480713	168.50993268361162	Q	B	0
3.12	-0.581	343.07509331708786	255.60969127179823	Q	A	1
-1.19	1.063	560.6769158905249	206.5466438740114	P	A	2
-23.79	-0.907	740.2253211651564	295.88383735655486	P	D	3
-14.01	-3.125	775.973688932698	216.06514172678982	P	D	3
15.51	-1.228	679.8890268779456	169.67270310390865	Q	D	0
-15.049999999999999	-2.751	639.2900120130319	308.7920956189035	Q	A	0
-2.74	2.586	653.6468464620899	129.5732604018608	Q	D	1
-21.349999999999998	-2.153	716.7840721173235	161.78596711766608	P	D	3
-18.31	0.724	772.0721770880593	149.11968106682133	P	D	1
9.389999999999999	0.467	635.9086230567087	246.4822260279852	Q	B	2
22.21	-0.072	698.0183722576822	118.83870704518826	Q	D	2
15.67	1.435	705.0421498669001	162.9951396849887	P	C	1
17.06	1.74	410.45791749221723	125.80472190766498	Q	A	3
5.99	-3.102	275.5481230345488	282.3723337145124	P	B	1
9.86	-0.837	596.7276368632273	146.08902849963152	P	B	2
-17.549999999999997	2.176	432.7129420690575	173.01773803604783	P	D	1
26.669999999999998	1.32	918.3636746299507	232.48935318607124	P	B	0
19.46	-0.432	236.85190197855195	250.9928688220552	Q	C	3
12.41	1.556	450.97441818877985	185.76016764928843	P	C	1
5.17	-0.294	939.2041355793508	211.44210288890352	P	C	3
16.16	-2.139	527.5905849908479	234.65833906210355	P	B	2
16.75	-1.476	791.867687619487	261.0282807830109	Q	D	0
12.93	1.281	582.2221695336115	162.81727935722154	P	A	3
24.92	-0.102	400.9331830366456	162.7051666490384	Q	C	3
-18.009999999999998	1.979	366.8482372661981	112.60371731332172	Q	C	0
-8.4	1.92	825.2796190532202	286.1153627546481	P	D	1
-16.45	-1.315	516.8844485311564	286.2926890339899	Q	B	1
-30.299999999999997	-0.822	538.659666911928	143.00650513468938	Q	D	1
9.77	1.698	384.9106896170887	129.26335233108773	Q	D	2
-15.84	1.244	851.7934883259076	141.96145809903675	Q	C	0
9.86	-1.192	822.8590501737684	205.9403213498921	Q	A	1
21.75	-3.243	602.8511040168792	225.0359046346589	P	D	0
-21.53	0.823	387.3814402908689	233.79944191665726	Q	B	3
-9.379999999999999	-1.204	556.7266562407054	337.9419091395961	P	C	2
14.98	-1.318	612.0104367329226	170.14691631563164	P	B	2
16.19	1.342	535.2799724979686	262.8722008175811	P	C	1
-25.93	-1.481	740.6302438316277	141.98923048396375	P	D	3
-17.71	0.521	791.3929031883605	170.11072349183138	P	B	3
-9.51	0.803	460.7455714745007	131.74248612667844	P	B	3
-16.43	-1.047	413.64506395544595	198.61912084189385	Q	D	3
-24.59	-1.939	432.55711888264506	168.46774634480872	Q	D	3
15.22	1.67	619.9969902242683	189.98471135704247	P	C	1
30.33	0.673	655.2719958336193	131.07804788295942	P	D	2
-20.11	2.451	691.4196298631332	187.79554196123055	Q	C	0
9.5	2.391	268.72234934217204	189.9457267433916	P	D	2
14.58	1.536	754.5635233911651	203.34510480822797	Q	D	2
-14.0	2.104	519.2093516874131	229.5712261392661	P	B	3
-9.7	4.039	618.716157833553	201.24926279398295	P	D	2
-15.16	-1.277	523.9820582211934	256.1703353675461	Q	C	2
8.67	-1.138	613.390042693711	159.66050332108802	P	A	1
-15.309999999999999	-1.204	251.13155468599598	194.75947138922973	Q	C	2
-26.57	-2.891	665.4437581156756	135.10532503708828	Q	A	0
-16.25	-1.844	525.6217951690551	262.7158001838699	P	A	0
14.27	1.687	708.8646003859822	203.53643802672372	Q	C	1
